# Source: https://github.com/BlueSkyLT/siteselect_sg/blob/main/dataset/hdb.csv (trimmed to 5 columns)
blk_no,street,lat,lng,postal
101B,PUNGGOL FIELD,1.39784715104396,103.906436071245,822101
101B,YISHUN AVE 5,1.43139161655907,103.828230053946,762101
101C,LOR 2 TOA PAYOH,1.33926018714492,103.847063773104,312101
101C,PUNGGOL FIELD,1.39809045787162,103.906569305679,823101
101C,YISHUN AVE 5,1.43153255083691,103.827987575179,763101
101D,PUNGGOL FIELD,1.39848478483582,103.90614388692,824101
102,ALJUNIED CRES,1.3204390302197,103.882420433245,380102
102,ANG MO KIO AVE 3,1.37065009249377,103.839410348811,560102
102,BEDOK RESERVOIR RD,1.32849187727623,103.90926515578,470102
102,BEDOK NTH AVE 4,1.33390654765002,103.937458398204,460102
102,BISHAN ST 12,1.3451431233477,103.847990805259,570102
102,BT PURMEI RD,1.2717673800708,103.82662196779,090102
102,BT BATOK WEST AVE 6,1.34732995877412,103.747343554163,650102
102,C'WEALTH CRES,1.30782464878023,103.800629787177,140102
102,CANBERRA ST,1.45183449125061,103.832106719013,750102
102,CLEMENTI ST 14,1.32228557225905,103.769201884359,120102
102,DEPOT RD,1.28033700695655,103.813510155208,100102
102,GANGSA RD,1.37910762831305,103.768153816778,670102
102,HENDERSON CRES,1.290366187147,103.82157708445,150102
102,HOUGANG AVE 1,1.35496446293882,103.890855054687,530102
102,JLN RAJAH,1.32822306444761,103.851519753845,321102
102,JLN DUSUN,1.3278687431847,103.844209602863,320102
102,JURONG EAST ST 13,1.33609657873553,103.738219191663,600102
102,LENGKONG TIGA,1.32557930714658,103.91065754789,410102
102,PASIR RIS ST 12,1.36748427336516,103.958041055125,510102
102,POTONG PASIR AVE 1,1.3336901273759,103.868810587506,350102
102,PUNGGOL FIELD,1.39828057833462,103.90565444548,820102
102,RIVERVALE WALK,1.38180761026047,103.900893229708,540102
102,SERANGOON NTH AVE 1,1.37084327297737,103.871153606719,550102
102,SIMEI ST 1,1.34134724729923,103.951355068944,520102
102,SPOTTISWOODE PK RD,1.27472973036659,103.836235490003,080102
102,TAMPINES ST 11,1.34671616267656,103.945521388285,521102
102,TECK WHYE LANE,1.377082841385,103.754394432037,680102
102,TOWNER RD,1.32024939475758,103.858548602691,327826
102,WOODLANDS ST 13,1.43608294925148,103.781199565987,730102
102,YISHUN AVE 5,1.43061830395071,103.828762985291,760102
102A,BIDADARI PK DR,1.33735663767481,103.871501841302,341102
102A,CANBERRA ST,1.45119390519494,103.832227554636,751102
102A,DEPOT RD,1.28029134553105,103.81333235886,101102
102A,PUNGGOL FIELD,1.39883318313425,103.905783553043,821102
102A,RIVERVALE WALK,1.38215139024135,103.900075103796,541102
102B,BIDADARI PK DR,1.33622045424375,103.871847066518,342102
102B,CANBERRA ST,1.45123970424367,103.83143636512,752102
102B,PUNGGOL FIELD,1.39908525778671,103.905471407838,822102
102C,CANBERRA ST,1.4515599303551,103.831765050319,753102
102C,PUNGGOL FIELD,1.39876127750607,103.90493897318,823102
102D,PUNGGOL FIELD,1.39848070795436,103.905249752459,824102
103,AH HOOD RD,1.32796267483785,103.844826964123,320103
103,ALJUNIED CRES,1.32051692193259,103.883270319267,380103
103,ANG MO KIO AVE 3,1.37101657804604,103.839304839187,560103
103,BEDOK NTH AVE 4,1.33348258777759,103.937542520091,460103
103,BEDOK RESERVOIR RD,1.32877022232019,103.909381354431,470103
103,BISHAN ST 12,1.34551249132105,103.848314162387,570103
103,BT PURMEI RD,1.27208558524996,103.825495615402,090103
103,BT BATOK CTRL,1.34835438788998,103.748094095917,650103
103,C'WEALTH CRES,1.30834597039185,103.800214004392,140103
103,CANBERRA ST,1.4506760541128,103.830757597034,750103
103,CLEMENTI ST 14,1.32258854750628,103.769176205799,120103
103,EDGEFIELD PLAINS,1.39747339816869,103.904821824666,820103
103,GANGSA RD,1.37867070821171,103.768538440957,670103
103,HENDERSON CRES,1.28974209684545,103.821375681569,150103
103,HOUGANG AVE 1,1.35528223434405,103.89036014824,530103
103,JLN RAJAH,1.32734143333539,103.852780650365,321103
103,JURONG EAST ST 13,1.33668715015786,103.738059200285,600103
103,LENGKONG TIGA,1.32585546338587,103.910598910975,410103
103,LOR 1 TOA PAYOH,1.34010929042644,103.848184574089,310103
103,PASIR RIS ST 12,1.36769508123853,103.958404209993,510103
103,POTONG PASIR AVE 1,1.33411338676706,103.86952371664,350103
103,RIVERVALE WALK,1.38291146712108,103.901208583313,540103
103,SERANGOON NTH AVE 1,1.37067353047523,103.870263924296,550103
103,SPOTTISWOODE PK RD,1.27466096925721,103.835279824837,080103
103,TAMPINES ST 11,1.34769662535556,103.946229920882,520103
103,TECK WHYE LANE,1.37713078246274,103.753555993761,680103
103,TOWNER RD,1.32064381512285,103.861634081148,322103
103,WOODLANDS ST 13,1.4366212320968,103.78097673981,730103
103,YISHUN RING RD,1.43136957726436,103.828892847707,760103
103A,BIDADARI PK DR,1.33561133729051,103.87172830638,341103
103A,CANBERRA ST,1.45103006132424,103.830534008712,751103
103A,DEPOT RD,1.28070197642689,103.813353428682,101103
